Key,AlertCategory,DateOfResponse,TimeOfResponse,DateOfCrime,TimeOfCrime,CrimeCategory,LocationOfCrime,SuspectDescription,SuspectInCustody,Update,Link,MapGroup,coords,latitude,longitude,quarter
20,Community Alert Bulletin,2020-09-21,,,,Theft By False Pretenses (Phone Scams),"online, phone calls",No,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-9-21-1.html,Online,,,,SU2020
21,Timely Warning,2020-10-15,4:20 AM,10/15/2020,04:20 AM,Robbery,Gilman Bridge,Yes,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-10-15-4.html,Gilman Bridge,"(32.87600005766554, -117.22885299138183)",32.87600005766554,-117.22885299138183,FA2020
22,Timely Warning,2020-11-02,1:25 AM,11/2/2020,01:25 AM,Aggravated Assault,9000 Villa La Jolla Drive,Yes,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-11-2-7.html,Rita Atkinson,"(32.87274099845561, -117.23522676877275)",32.87274099845561,-117.23522676877275,FA2020
23,Timely Warning,2020-11-10,10:30 PM,11/10/2020,10:30 PM,Burglary,Rita Atkinson Residences,Yes,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-11-11-1.html,Rita Atkinson,"(32.87274099845561, -117.23522676877275)",32.87274099845561,-117.23522676877275,FA2020
24,Timely Warning,2020-12-12,10:00 PM,12/12/2020,09:50 PM,Aggravated Assault,Sun God Lawn,Yes,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-12-13-2.html,Sun God Lawn,"(32.87845455039474, -117.23990366231277)",32.87845455039474,-117.23990366231277,FA2020
25,Community Alert Bulletin,2020-12-18,11:00 AM,,,Theft By False Pretenses (Phone Scams),,Yes,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-12-18-5.html,,,,,FA2020
26,Timely Warning,2021-01-14,6:15 AM,1/13/2021,10:15 PM,Burglary,Mesa Apartments,No,No,,https://adminrecords.ucsd.edu/Notices/2021/2021-1-14-2.html,Mesa Graduate Housing,"(32.87502265717985, -117.22292759641547)",32.87502265717985,-117.22292759641547,WI2021
27,Timely Warning,2021-01-30,,,,Aggravated Assault,,Yes,Yes,24.0,https://adminrecords.ucsd.edu/Notices/2021/2021-2-1-2.html,,,,,WI2021
28,Community Alert Bulletin,2021-02-04,2:45 AM,,,Catalytic Converter Theft,Hopkins Parking Structure,Yes,Yes,,https://adminrecords.ucsd.edu/Notices/2021/2021-2-4-4.html,Hopkins,,,,WI2021
29,Timely Warning,2021-08-28,5:10 PM,8/28/2021,04:18 PM,Aggravated Assault,Voigt Drive and Hopkins Drive,Yes,No,,https://adminrecords.ucsd.edu/Notices/2021/2021-8-28-1.html,Hopkins,,,,SU2021
